00005855n|Se conoce como juego sexual a los preludios del acto sexual.
02595117n|Rodea: The Sky Soldier es un videojuego creado por Prope, el estudio de Yuji Naka, el padre de Sonic the Hedgehog, y editado en Japon por Kadokawa Games para las videoconsolas Wii y Nintendo 3DS.
02598060n|Dishonored es un videojuego en primera persona desarrollado por Arkane Studios con lanzamiento planeado para finales de 2012.
02600245n|Crime Life: Gang Wars es un videojuego publicado por Konami para PC, PlayStation 2 y Xbox.
02601804n|Theme Park World es un videojuego desarrollado por Bullfrog Productions, y lanzado por Electronic Arts en 1999, que tiene como objetivo el crear un parque de atracciones para niños, cuidando tanto el aspecto economico de su gestion, como la satisfaccion de sus visitantes.
02602511n|Ultimate Marvel vs. Capcom 3 es un videojuego de lucha desarrollado por Capcom.
02602813n|Lollipop Chainsaw es un videojuego del genero Hack and slash, desarrollado por Grasshopper Manufacture para las plataformas PlayStation 3 y Xbox 360.
02605818n|Alone in the Dark es un videojuego desarrollado por Infogrames en 1992 para PC.
02606523n|American Conquest es un videojuego de estrategia en tiempo real producido y diseñado por CDV y GSC Game World, desarrolladores tambien de la serie Cossacks.
02606853n|Resident Evil Mercenaries Vs. es un videojuego desarrollado por Capcom, que forma parte de la conocida saga Resident Evil, y es el primero para iPhone, iPod Touch de 16GB y 32GB, y iPad, pero no es compatible para el iPhone 3G, iPod Touch 1, 2, 3 o 8GB.
02612299n|FIFA Manager 12 es un videojuego de simulacion gerencial desarrollado por Bright Future GmbH y publicado por Electronic Arts en todo el mundo bajo el sello de EA Sports.
02614207n|Adventures in the Magic Kingdom es un videojuego lanzado en 1990 para la Nintendo Entertainment System.
02614271n|Mad Dog McCree es un videojuego de disparos en primera persona lanzado originalmente como maquina recreativa en 1990 por American Laser Games.
02616573n|Borderlands 2 es un videojuego de disparos en primera persona con elementos de rol, se trata de la secuela del videojuego de 2009, Borderlands.
02616829n|Zelda II: The Adventure of Link es un videojuego aparecido en 1987 para la Nintendo Entertainment System, y el segundo de la saga de juegos The Legend of Zelda.
02617361n|Metal Slug 6 es un videojuego que forma parte de la saga Metal Slug.
02619223n|Bob Esponja: El Vengador Amarillo es un videojuego de aventuras y plataformas protagonizado por Bob Esponja.
02622159n|Marc Eck 's Getting Up: Contents Under Pressure es un videojuego de accion de la compañia Atari creado el 2006.
02622810n|My Little Pony: Fighting Is Magic es un juego de peleas fan-made inspirado en la serie de animada de television My Little Pony: La magia de la amistad.
02627305n|Gungrave es un videojuego de disparos en tercera persona programado por la compañia Red Entertainment y distribuido por SEGA para la consola PlayStation 2.
02627580n|Counter-Strike: Global Offensive es un videojuego de disparos desarrollado por Valve Corporation en cooperacion con Hidden Path Entertainment, y es el cuarto juego de la saga Counter-Strike, sin contar Counter-Strike: Online.
02627965n|The Story of Thor 2 es un videojuego para Sega Saturn que salio en 1996, y que es una secuela del juego de Mega Drive \"The Story of Thor\", situandose argumentalmente como una protosecuela.
02632684n|Match Day II es un videojuego de 8 bits publicado por Ocean Software y desarrollado en 1987 por Jon Ritman en una Z80 con Bernie Drummond como diseñador y Guy Stevens en el sonido.
02633242n|Resistance: Burning Skies es un videojuego de disparos en primera persona, desarrollado por Nihilistic Software y distribuido por Sony Computer Entertainment para PlayStation Vita.
02633313n|Tekken 3D: Prime Edition es un videojuego de lucha perteneciente a la famosa saga de videojuegos Tekken.
02636018n|Transformers: Convoy no Nazo fue un videojuego que salio solo para la Nintendo Entertainment System de Japon desarrollado y distribuido por Takara en 1986.
02642373n|ClayFighter es un juego de lucha lanzado para Super NES en 1993, y portado posteriormente a Mega Drive/Genesis en 1994.
02644837n|RollerCoaster Tycoon 3D es el proximo videojuego de construccion y administracion desarrollado por N-Space, fue programado para liberacion por Atari en marzo de 2012, aunque esta fecha de lanzamiento fue perdida y luego reprogramada para el 22 de mayo de 2012 sin embargo, el juego no fue lanzado ese dia tampoco.
02649781n|Desktop Dungeons es un videojuego de rol para un jugador desarrollado y publicado por QCF Design.
02651161n|Gradius 2, conocido en los mercados occidentales como Nemesis 2, es un videojuego publicado para el ordenador MSX en 1987 por Konami.
02651901n|Mickey Mouse: Magic Wands! es un videojuego de la saga Mickey Mouse, para la consola Game Boy publicado en 1993 en Japon y en 1998 en Europa y America.
02659898n|Tom Clancy's Ghost Recon Advanced Warfighter es el tercer juego de la popular serie de videojuegos de shooter tactico, publicada por Ubisoft.
02662723n|Los colonos de Catan, o Los descubridores de Catan, es un juego de mesa multijugador inventado por Klaus Teuber.
02664764n|Mario Tennis Open es un videojuego de deportes de la serie Mario para la videoconsola Nintendo 3DS.
02666667n|Star Wars Jedi Knight: Jedi Academy es un videojuego de disparos en primera y tercera persona establecido en el universo de Star Wars.
02666838n|American McGee's Alice es un videojuego para ordenador en tercera persona de accion lanzado el 6 de octubre del 2000, que toma lugar en el universo de Alicia en el Pais de las Maravillas.
02668347n|Un juego de guerra es aquel que recrea un enfrentamiento armado de cualquier nivel con reglas que implementan cierta simulacion de la tecnologia, estrategia y organizacion militar usada en cualquier entorno historico, hipotetico o fantastico.
02669823n|Earthworm Jim 3D es el tercer videojuego de la serie Earthworm Jim.
02669925n|Spider-Man 2: Enter Electro es el segundo juego de PlayStation de Spider-Man, y tambien sirve como la secuela del videojuego de 2000 Spider-Man.
02670045n|Spider-Man: Mysterio's Menace es un videojuego de los años 1990 inspirado en los comics de Spiderman tambien a la vez en la serie animada de los 90.
02670954n|Programa Espacial Kerbal esta en la actualidad en fase de desarrollo es un Videojuego de simulacion espacial que permite a los jugadores crear y administrar su propio programa espacial.
02671836n|Veo veo es un juego de adivinanzas usualmente jugado por familias con niños pequeños, en parte para ayudarlos tanto en la observacion como en la familiaridad con el alfabeto.
02675195n|Buster Bros., tambien llamado Pang, es un videojuego en el que dos jugadores, hermanos, colaboran para destruir las burbujas.
02684761n|Rod-land es un videojuego de plataformas creado por Jaleco a principios de 1990.
02688218n|Castlevania Puzzle: Encore of the Night es un videojuego de la franquicia Castlevania.
02690208n|ABBA: You Can Dance es un videojuego para la videoconsola Wii, desarrollado por Ubisoft.
02693539n|Transformers: Fall of Cybertron es un videojuego, que es la secuela a Transformers: War for Cybertron su lanzamiento fue el 21 de agosto para USA y el 24 para Latinoamerica para PlayStation 3, Xbox 360 y Microsoft Windows, es producido por Activision.
02697076n|Star Wars Galaxies es un videojuego de rol multijugador masivo en linea basado en la Guerra de las Galaxias para PC desarrollado por Sony Online Entertainment y publicado por LucasArts.
02700173n|Serious Sam es un videojuego croata disponible para PC y para la consola Xbox de Microsoft.
02702610n|Wolfenstein 3D es un videojuego de disparos en primera persona que popularizo el genero para PC.
02703215n|La generala es un juego de dados.
02705032n|Riven es un juego de aventura grafica tipo point-and-click.
02708104n|Mickey's Space Adventure es un videojuego de aventura conversacional basado en la franquicia Mickey Mouse de Disney.
02710890n|The Adventures of Gilligan's Island es un videojuego de NES de Bandai basado en la serie de TV del mismo nombre.
02711117n|American Gladiators es un videojuego de accion y de combate desarrollado por Incredible Technologies y editado por GameTek en 1991 para Nintendo Entertainment System.
02711710n|Duke Nukem Time to Kill es un videojuego de accion-aventura en tercera persona para PlayStation de la serie Duke Nukem EL juego se presenta en una perspectiva de tercera persona con Duke siempre visible o cuando apunta la camara se situa sobre su hombro siendo semi-transparente Duke.
02712108n|Duke Nukem: Land of The Babes es un videojuego de la serie Duke Nukem del año 2000.
02713169n|X-Men es un videojuego exclusivo de Norteamerica lanzado para la Sega Game Gear, antes de que la mayoria de juegos de accion estuvieran obligados a tener una historia profunda.
02716209n|Sonic Generations es un videojuego de plataformas de la serie Sonic the Hedgehog.
02717322n|Super Mario All-Stars en Japon), conocido en Estados Unidos como Super Mario All-Stars: Limited Edition es un videojuego creado por Nintendo para su consola Super Nintendo en 1993.
02726523n|Sonic Adventure 2 es un videojuego de la saga Sonic the Hedgehog, que fue desarrollado por el Sonic Team.
02727099n|The Black Eyed Peas Experience es un videojuego de musica y baile desarrollado y publicado por Ubisoft para Wii y desarrollado por iNiS para la Xbox 360.
02730220n|WWF WrestleMania es un videojuego de lucha libre profesional desarrollado por Midway Manufacturing Co.
02731541n|Heroclix es un juego de miniaturas coleccionables creado por WizKids.
02734587n|YU-NO: A girl who chants love at the bound of this world es un videojuego bish jo japones desarrollado por Elf Co. y lanzado para la NEC PC-9801 en 1996, posteriormente se lanzo para Sega Saturn y tambien para PC, todas ellas clasificadas para mayores de 18 pero se ha eliminado ciertas partes en las versiones de Saturn y de Windows aunque aun asi sigue teniendo contenido erotico.
02736298n|CastleVille es un videojuego de tiempo real de la empresa de videojuegos de Zynga.
02737608n|Burgertime es un juego de arcade de 1982 creado por la Data East Corporation para su propio sistema arcade, el DECO Cassette System.
02744406n|Woody Woodpecker Racing es un videojuego lanzado por Konami, Universal Interactive Studios y Syrox Developments en el año 2000 basado en la serie animada de 1930 El Pajaro Loco publicado para Game Boy Color, PlayStation y Windows, siendo cancelada una version para Dreamcast.
02751431n|Lego Batman 2: DC Super Heroes es un videojuego de Lego y DC comics estrenado en Junio de 2012, y es la secuela de Lego Batman: El Videojuego.
02752244n|FireHawk es un videojuego de accion desarrollado por Codemasters y es comercializado por Camerica en septiembre de 1991 para la Nintendo Entertainment System en Estados Unidos.
02755849n|The Last of Us es un videojuego de disparos en tercera persona, del genero survival horror, desarrollado por Naughty Dog de manera exclusiva para la videoconsola PlayStation 3.
02760618n|War Rock es un videojuego en linea belico gratuito.
02761621n|Asterix es un videojuego desarrollado por Bit Managers y distribuido por Infogrames para el Nintendo Entertainment System y Game Boy en 1993.
02762059n|Alan Wake es un videojuego del genero survival horror desarrollado por la empresa finlandesa Remedy Entertainment y publicado por Microsoft Game Studios para la Xbox 360 y el PC.
02762285n|Tony Hawk's Pro Skater HD es un video juego de skate y el duodecimo de la serie Tony Hawk's.
02765915n|F-Zero X es un videojuego de carreras futurista desarrollado y distribuido por Nintendo en 1998 para la videoconsola Nintendo 64.
02766469n|Morder la manzana es un juego que habitualmente tiene lugar en Halloween.
02770773n|Fire Emblem: Path of Radiance es el noveno juego de la saga Fire Emblem, desarrollado por Intelligent Systems y publicado por Nintendo para la consola Nintendo GameCube.
02770925n|Doom II: Hell on Earth es un videojuego de disparos en primera persona para computadora publicado en 1994 por la empresa desarrolladora id Software que marco un hito en la historia de los videojuegos y fue reconocido, en su epoca, como el mejor de su genero.
02771066n|Killzone: Mercenary es un videojuego de disparos en primera persona proxima para la PlayStation Vita.
02774463n|Xenogears es un videojuego de ciencia-ficcion de rol desarrollado y publicado por Square para la PlayStation de Sony.
02774910n|StarCraft: Ghost es un videojuego para consolas de accion en tercera persona de la famosa saga StarCraft que fue anunciado en 2002 por Blizzard Entertainment.
02775595n|Gangstar Rio: City of Saints es un videojuego de mundo abierto de accion y aventura para Android, iOS y Java ME.
02777548n|El ajedrez chino es un juego de mesa de estrategia sobre un tablero, de la misma familia que el ajedrez y el sh gi.
02780176n|Daraku Tenshi: The Fallen Angels es un video juego del genero de peleas 2D creado para Arcade y lanzado en 1998 por la compañia Japonesa Psikyo en conjunto con el equipo Steel Hearts.
02781296n|Spirit Camera: La memoria maldita es un juego spin-off de la serie Project Zero, co-desarrollado por Tecmo Koei y Nintendo para la videoconsola Nintendo 3DS.
02784147n|Gran Trak 10 fue un juego de arcade de carreras para un solo jugador lanzado por Atari en 1974.
02786769n|Castle Story es un juego independiente, de estrategia en tiempo real, basado en el sistema de voxel.
02800304n|Quake 4 es el cuarto videojuego de la serie de videojuegos de disparos en primera persona, \"Quake\".
02805015n|Tenchu: Stealth Assassins es un videojuego de sigilo desarrollado por Acquire y publicado por Sony Music y Activision el 26 de febrero de 1998 en Japon, el 31 de agosto de 1998 en Estados Unidos y posteriormente en Europa para las plataformas PlayStation, PlayStation 2, XBox, XBox 360, PlayStation Portable y Nintendo DS.
02806315n|The Goonies es un videojuego de plataformas de 1986 producido por Konami originalmente para la Famicom en Japon y basado en la pelicula homonima.
02807014n|The King of Fighters XI es el antepenultimo videojuego de la saga de The King of Fighters, lanzado originalmente en la placa arcade Atomiswave.
02807151n|Toki to Towa es un futuro juego de rol y RPG para Playstation 3.
02808722n|Driver: Parallel Lines, es el cuarto juego de la serie Driver.
02811640n|Dark Age of Camelot es un videojuego del tipo MMORPG que trata de la lucha entre tres reinos, inspirados en varias mitologias y leyendas: Midgard, Hibernia y Albion.
02812712n|Dustforce es un juego de plataformas desarrollado por Hitbox Team.
02813809n|Sniper Elite V2 es un videojuego de disparos en tercera persona desarrollado por Rebellion Developments para Microsoft Windows, PlayStation 3 y Xbox 360 que fue lanzado el 1 de mayo de 2012.
02817120n|Toy Commander es un videojuego de accion para la Sega Dreamcast desarrollado por No Cliche y publicado por Sega.
02819473n|Test Drive: Ferrari Racing Legends es un videojuego de carreras desarrollado por primera vez por Slightly Mad Studios y es dirigido por ATARI.
02822301n|Skylanders: Giants es un videojuego de 2012 de la serie de Skylanders y va a ser la secuela directa del juego 2011 Skylanders: Spyro's Adventure.
02826379n|The Amazing Spiderman es un videojuego basado en la pelicula homonima de The Amazing Spiderman.
02826959n|Dragon's Lair es un videojuego de laserdisc publicado por Cinematronics en 1983.
02827498n|Chip's Challenge es un videojuego de destreza lanzado originalmente para el Lynx y luego trasladado a las computadoras.
02829918n|Virtual Chess 64 fue uno de los juegos de menos exito para la Nintendo 64.
02830205n|F-15 Strike Eagle es un videojuego simulador de vuelo de F-15 Strike Eagle lanzado en 1985 por MicroProse y es el primero de la serie F-15 Strike Eagle que comprende ademas las secuelas F-15 Strike Eagle II y F-15 Strike Eagle III.
02832953n|Parodius Da! es el segundo juego de la serie Parodius producido por Konami y su funcionamiento y aspectos es por ende, semejante a los demas de la serie, todos ellos clara parodia de Gradius.
02833836n|Valkyrie Profile es un juego RPG para PlayStation desarrollado por el equipo Tri-Ace/Enix y publicado por Enix, una de las principales empresas japonesas programadoras de juegos de rol, hoy en dia fusionada con Squaresoft.
02833847n|Valkyrie Profile 2: Silmeria es el segundo juego en la serie Valkyrie Profile, fue desarrollado por tri-Ace y publicado por Square Enix.
02834306n|DEFCON es un juego en tiempo real creado por la empresa britanica Introversion Software.
02835713n|Company of Heroes, tambien llamado CoH, es un videojuego de estrategia en tiempo real.
02839667n|101 Dalmatians: Escape from DeVil manor es un videojuego credo por Disney Interactive para la plataforma de IBM en 1997.
02839695n|Medal of Honor: Warfighter es un videojuego de disparos en primera persona, desarrollado por Danger Close y distribuido por Electronic Arts.
02843329n|Raiders of the Lost Ark es un video juego creado para el Atari 2600 y basado en la pelicula Raiders of the Lost Ark.
02843842n|Hattrick es un videojuego de navegador gratuito, perteneciente a la compañia ExtraLives AB, creado en Suecia por Bjorn Holmer, el 30 de agosto de 1997.
02844575n|MotoGP '06 es un videojuego simulador de motocicletas para Xbox 360.
02848913n|Surakarta es un juego de mesa de estrategia abstracta javanes, que segun la tradicion, tendria su origen en la ciudad de Surakarta la cual le dio su nombre al juego.
02849720n|Battleship es un juego de video basado en la pelicula del mismo nombre.
02850122n|Forza Horizon es un videojuego de carreras actualmentle en desarrollo para la consola Xbox 360 por Turn 10 Studios en conjunto con Playground Games.
02852975n|WWE '13 es un videojuego de lucha libre profesional que esta siendo desarrollado por Yuke's y que sera distribuido por THQ para la PlayStation 3, Xbox 360 y Wii.
02857160n|Ikaruga es un videojuego que pertenece al genero de los shoot 'em up video game desarrollado por Treasure.
02861321n|Harpastum era un juego de entrenamiento militar romano practicado por los reclutas y legionarios romanos destacados en Britania el año 43.
02861783n|Super Bomberman 2 es un videojuego de Hudson Soft para Super Nintendo.
02861924n|Caylus es un juego de estrategia y gestion de recursos de juego de estilo europeo, creado por William Attia y publicado en 2005 por stari Games en Francia e Inglaterra y por Rio Grande Games en Estados Unidos.
02862299n|Gokuj Parodius es un videojuego arcade publicado por Konami en 1994.
02862346n|The Ratchet & Clank Trilogy, tambien conocido como The Ratchet & Clank Collection en America y Ratchet & Clank 1-2-3: Ginga * Saikyou Gorgeous Pack en Japon, es un videojuego de accion, plataformas y disparos recopilatorio, que contiene la primera trilogia aparecida originalmente en la consola PlayStation 2 remasterizados en alta definicion a 1080p, con modo multijugador en linea y soporte para trofeos, disponible para PlayStation 3.
02863659n|Pac-Man World Rally es un videojuego de la serie Pac-Man, creado el 22 de agosto del 2006 por Bandai Namco.
02864965n|Star Wars Miniatures es un juego de miniaturas coleccionables ambientado en el universo de ficcion de la saga de La guerra de las galaxias.
02869248n|Epic Mickey: Mundo Misterioso, conocido en America como Epic Mickey: Power of Illusion, es un videojuego de plataformas desarrollado por Dreamrift y publicado por Disney Interactive Studios para la videoconsola Nintendo 3DS.
02870264n|F1 2012 es un videojuego de Formula 1 proximo a salir correspondiente a la temporada 2012.
02872782n|Mutant Chronicles es un juego de rol de ambientacion futurista al que sus creadores llamaron juego de rol tecnofantastico
02875452n|Fire Emblem: Thracia 776 es el quinto juego de la saga Fire Emblem, desarrollado por Intelligent Systems y publicado por Nintendo originalmente en la consola Super Famicom, conocida como SNES en occidente.
02879772n|Max Payne es un videojuego de disparos en tercera persona y entorno 3D desarrollado para PC por la empresa finlandesa Remedy Entertainment, escrito por Sam Lake, producido por 3D Realms y publicado por Gathering of Developers en julio de 2001.
02885619n|FIFA Street 2 es un videojuego de futbol callejero, siendo la secuela del videojuego FIFA Street.
02885684n|Commandos 2: Men of Courage es un videojuego de estrategia en tiempo real ambientado en la Segunda Guerra Mundial, desarrollado por Pyro Studios y publicados por Eidos Interactive para Microsoft Windows, PlayStation 2 y Xbox.
02887201n|Dead Space 3 sera un videojuego de survival horror, desarrollado por Visceral Games y distribuido por Electronic Arts.
02887397n|Project CARS es un videojuego simulador de carreras actualmente en desarrollo por Slightly Mad Studios y la comunidad online de World of Mass Development.
02888299n|MedallaOro Equitacion en los juegos olimpicos de Atenas 2004  - bgcolor=\"#eeeeee\" align=center !
02889937n|el el proximo videojuego de rol tactico para Nintendo 3DS co-desarrollado por Monolith Soft y Banpresto y publicado por Namco Bandai Games.
02893910n|Konami Wai Wai World es un videojuego de plataformas lateral que tiene como protagonistas a varios personajes de distintos juegos de la compañia Konami a modo de crossover entre distintas series.
02893967n|Wai Wai World 2: SOS!! Parsley J es un videojuego de plataformas publicado por Konami para Famicom que salio exclusivamente en Japon en enero de 1991, siendo la secuela directa de Konami Wai Wai World.
02896471n|Super Monday Night Combat es un juego gratuito desarrollado por Uber Entertainment.
02897139n|El Lasca es un juego de tablero para dos jugadores que fue inventado por el campeon de ajedrez Emanuel Lasker.
02899166n|Pro Evolution Soccer 2013 es un videojuego de futbol de la serie Pro Evolution Soccer desarrollado y publicado por Konami.
02901492n|New Super Mario Bros. 2 es un videojuego de plataformas de desplazamiento lateral perteneciente a la serie Mario desarrollado por Nintendo para la Nintendo 3DS.
02902898n|MPLE "Metroid II: Return of Samus es el segundo videojuego de la saga Metroid.
02902996n|Super Metroid es un videojuego concebido en 1994, el tercero en la serie de Metroid.
02906053n|Garou: Mark of the Wolves es un videojuego de peleas de la saga Fatal Fury publicado por la compañia SNK en 1999 para el sistema Neo Geo.
02906417n|God Eater 2 es un proximo videojuego desarrollado por Namco Bandai Games fijado para el lanzamiento en 2013 en Japon.
02908465n|Call of Duty: Black Ops 2 es un videojuego de disparos en primera persona en actual desarrollo, creado por Treyarch y distribuido por Activision.
02908682n|Metroid Fusion es el cuarto videojuego de la saga Metroid, y el primero en haber salido para Game Boy Advance.
02911307n|The Legend of Zelda: Link's Awakening, es un videojuego de accion-aventura desarrollado y publicado por Nintendo para la videoconsola portatil Game Boy.
02911515n|Sonic & All-Stars Racing transformed es el proximo juego de carreras que es actualmente desarrollado por Sumo Digital.
02914014n|El juego del oso es un juego de lapiz y papel de estrategia que se juega normalmente con una hoja de papel cuadriculado.
02914714n|Escape from Monkey Island es un videojuego de aventura de ordenador distribuido por LucasArts en el año 2000.
02915392n|The Elder Scrolls Online es un videojuego de rol multijugador masivo en linea en desarrollo por ZeniMax Online Studios y editado y distribuido por Bethesda Softworks.
02919138n|Baston del diablo tambien conocido como Golo, Devilstick o \"Palos Chinos\" es un juego malabar que consiste en sostener un baston de medida, peso y forma concretas en el aire mediante otros dos bastones, estos si, portados por el malabarista, uno en cada mano.
02921708n|Yumeria es un videojuego de Namco lanzado para la consola PlayStation 2, asi como una serie anime producida por Studio Deen.
02924297n|Panzer General es un videojuego de estrategia por turnos desarrollado en 1994 por la empresa Strategic Simulations, Inc. y ambientado en la Segunda Guerra Mundial.
02926712n|Amazing Alex  en español: El asombroso Alex  es un videojuego de logica basado en la fisica creado por Rovio Entertainment, el desarrollador del popular y multiplataforma puzzle de estrategia Angry Birds.
02927145n|Alien Syndrome es un videojuego arcade del genero run and gun desarrollado por Sega en 1987.
02929876n|Imperialism es un videojuego de estrategia por turnos para Microsoft Windows y Apple Macintosh, desarrollado por Frog City Software y publicado por Strategic Simulations.
02930698n|MediEvil 2 es un videojuego de aventuras para PlayStation.
02931977n|DC Heroes es un juego de rol ubicado en el universo de los super heroes de DC comics.
02932038n|Patrician 3: Imperio de los Mares es el tercer juego de la serie Patrician.
02932205n|World of Warcraft: El Juego de Tablero es un juego de tablero basado en el popular MMORPG World of Warcraft.
02933554n|Imperialism II: The Age of Exploration es un videojuego de estrategia por turnos desarrollado por Frog City Software y publicado por Strategic Simulations y Mindscape para Microsoft Windows y Mac OS.
02934077n|Donald Duck: Goin' Quackers es un videojuego protagonizado por el Pato Donald para Game Boy Color, PC, PlayStation, Nintendo 64, Dreamcast, PlayStation 2 y GameCube.
02940825n|Flying Dragon es un videojuego de lucha con elementos RPG para la Nintendo 64 lanzado en 1998, el cual fue diseñado por Culture Brain y publicado por Natsume.
02944388n|Sonic the Hedgehog 4 es un videojuego de plataformas como parte de la serie de Sonic the Hedgehog para las plataformas virtuales de PlayStation 3, Xbox 360, Wii, iPhone y iPod Touch.
02945278n|Glest es un juego de estrategia en tiempo real en 3D, disponible para varios sistemas operativos y que se puede modificar usando XML y un conjunto de herramientas.
02946619n|Tiny Toon Adventures 2: Montana's Movie Madness fue el segundo videojuego basado en la serie de television Tiny Toons para la consola portatil de Game Boy.
02948365n|Mercs es un videojuego creado por Capcom para recreativas y para Sega Mega Drive en 1990.
02949451n|Star Wars 1313 es un videojuego de accion-aventura en tercera persona que esta siendo desarrollado por LucasArts.
02950046n|Need for Speed: Most Wanted es el proximo videojuego de carreras de la saga Need for Speed.
02952280n|Esto juegos y derivados no son generalmente considerados canconicos, aunque los juegos han sido nombrados como productos licenciados - merchandising - de la serie.
02952312n|El escondite, tambien llamado escondecucas, escondidas, escondidillas, escondidijo, escondido, escondelero, esconderite, escondidita o resconde, es un juego popular que se juega mejor en zonas con potenciales puntos para ocultarse tales como un bosque, un parque, un jardin o una casa grande.
02953286n|Dance Central 3 es un juego hecho por Harmonix Music Systems por la rueda de prensa Microsoft.Fue anunciado en el E3 2012 con el cantante Ushercomo invitado el juegos es una secuela de la serie de Dance central.
02953581n|Just Dance 4 es un videojuego desarrollado por Ubisoft para Wii, PlayStation 3, Xbox 360 y Wii U.
02953646n|Watch Dogs es un videojuego de mundo abierto y accion-aventura desarrollado por Ubisoft.
02953833n|Tom Clancy's Splinter Cell: Blacklist es un videojuego de accion/aventura/espionaje y el sexto de la franquicia Tom Clancy's Splinter Cell creado por la compañia Ubisoft.
02954806n|Nintendo Land es un videojuego desarrollado por Nintendo para la consola Wii U.
02966702n|Pac & Pal es un juego arcade publicado solo en Japon por Namco en 1983.
02970191n|Trevor Chan's Capitalism II es el videojuego de simulacion economica secuela de Capitalism.
02977692n|Mario Golf es un juego de deporte desarrollado por Camelot Software Planning y publicado por Nintendo para el Nintendo 64 en 1999.
02980492n|Grand Theft Auto III es un videojuego desarrollado por Rockstar North y publicado por la compañia Rockstar Games en el año 2001.
02982953n|Mage Knight es un juego de miniaturas de la compañia estadounidense WizKids.
02985118n|Total War: Rome II es un videojuego de estrategia que actualmente esta siendo desarrollado por The Creative Assembly y sera publicado por SEGA en la segunda mitad de 2013 para Microsoft Windows.
02988035n|Supermanolo Returns es un videojuego basado en la pelicula del mismo titulo.
02988175n|Bleach DS: Souten ni Kakeru Unmei es un juego de lucha en 2D basado en el universo de la serie manga y anime Bleach, obra de Kubo Tite.
02990254n|Football Manager 2005 es un juego de la saga Football Manager.
02991842n|Slender: Las 8 paginas es un juego gratuito de terror psicologico/survival Horror lanzado en Junio 2012 para Microsoft Windows y Mac OSX basado en la leyenda urbana Slender man, el cual se describe vistiendo un traje negro similar a los notorios Hombres de Negro, y como el nombre sugiere, es extremadamente delgado y capaz de estirar sus brazos y torso a longitudes inhumanas para inducir terror y atrapar a su presa.
02999686n|Joe & Mac: Caveman Ninja es un juego de arcade creado por la compañia japonesa Data East en 1991 y fue adaptado para las plataformas Super Nintendo, Mega Drive, Nintendo, Game Boy, Amiga y PC.
03001442n|Deadpool es un proximo videojuego basado en los comics de Marvel del personaje del mismo nombre.
03003005n|Rival Schools: United by Fate es un juego de lucha 3D desarrollado por Capcom que recuerda a la saga de Street Fighter EX, pero si profundizamos podemos ver que es un juego original que incluye elementos nunca vistos.
03007566n|Jet Set Willy es un videojuego de 1984 creado originalmente para ZX Spectrum por Matthew Smith y esta considerado uno de los mejores juegos de todos los tiempos.
03008390n|Winterheart's Guild es un juego de rol creado por Zelian Games y hecho en colaboracion por la banda de Power metal Sonata Arctica.
03010173n|Silent Hill es un videojuego de survival horror desarrollado por Team Silent y publicado por Konami en 1999 para la Sony PlayStation.
03010682n|Silent Hill 3 es un videojuego de accion-aventura del estilo survival horror desarrollado y distribuido por Konami Computer Entertainment Tokyo bajo el nombre de Team Silent para la consola PlayStation 2.
03010701n|Call of Juarez es un videojuego en primera persona de la desarrolladora polaca Techland.
03010838n|Silent Hill 4: The Room es un videojuego de survival horror desarrollado por Team Silent y publicado por Konami en 2004 para la Sony PlayStation 2, Xbox y PC.
03016538n|Ultimate Ghosts 'n Goblins es un videojuego de la saga Ghosts 'n Goblins de Capcom, lanzado para PSP en el 2006.
03017675n|Battles of Prince of Persia es un videojuego de estrategia por turnos desarrollado por Ubisoft Montreal y publicado por Ubisoft para Nintendo DS en diciembre de 2005.
03020861n|Ratchet & Clank: QForce es un videojuego de plataformas y accion-aventura en desarrollo por Insomniac Games que sera distribuido por Sony Computer Entertainment para PlayStation 3.
03032264n|El hex es un juego entre dos personas que van colocando por turnos fichas sobre un tablero romboidal, compuesto de casilleros hexagonales.
03036018n|Mario Kart: Super Circuit, conocido en Japon como Mario Kart Advance es un videojuego de carreras perteneciente a la saga Mario Kart y publicado por Nintendo en 2001 para la consola Game Boy Advance.
03038862n|Star Wars Roleplaying Game es un juego de rol de mesa ambientado en el universo de Star Wars y publicado por la editorial estadounidense Fantasy Flight Games desde agosto de 2012.
03041629n|Call of Duty es un videojuego de disparos en primera persona del tipo \"belico\" desarrollado por Infinity Ward.
03043414n|Re-Volt es un videojuego de carreras lanzado al mercado por Acclaim Entertainment en el año 1999 para PlayStation, Nintendo 64, Dreamcast y Microsoft Windows.
03044126n|Uplink es un videojuego lanzado el 2001 por la compañia de software britanica Introversion Software.
03049141n|Lego The Lord of the Rings: The Videogame es un videojuego basado en El Señor de los Anillos y en Lego que sera lanzado en octubre de 2012 para multiples plataformas.
03050618n|Metal Gear Solid: Ground Zeroes es el proximo videojuego de sigilo desarrollado por Konami y Kojima Productions.
03052293n|Lightning Returns: Final Fantasy XIII es el proximo videojuego de rol de accion para consola que esta siendo desarrollado y sera distribuido por Square Enix para PlayStation 3 y Xbox 360 durante 2013.
03052317n|Hearts of Iron es un juego de estrategia belica compleja para ordenador, sobre la Segunda Guerra Mundial, desarrollado por Paradox Interactive en 2002.
03052763n|Zombi es un videojuego de accion-aventura para computadora, lanzado en 1986, siendo el primer juego desarrollado por Ubisoft.
